channel,fc_hz,bw_hz,b0_float,b1_float,b2_float,a1_float,a2_float,b0_q14,b1_q14,b2_q14,a1_q14,a2_q14
1,100.0000,35.4939,0.0069210885,0.0000000000,-0.0069210885,-1.9846747648,0.9861578230,113,0,-113,-32517,16157
2,176.3260,43.7325,0.0085139491,0.0000000000,-0.0085139491,-1.9782931516,0.9829721018,139,0,-139,-32412,16105
3,270.3683,53.8833,0.0104695804,0.0000000000,-0.0104695804,-1.9680266954,0.9790608392,172,0,-172,-32244,16041
4,386.2388,66.3902,0.0128686685,0.0000000000,-0.0128686685,-1.9517625480,0.9742626629,211,0,-211,-31978,15962
5,529.0043,81.8002,0.0158088771,0.0000000000,-0.0158088771,-1.9263097745,0.9683822458,259,0,-259,-31561,15866
6,704.9074,100.7870,0.0194079408,0.0000000000,-0.0194079408,-1.8868919942,0.9611841184,318,0,-318,-30915,15748
7,921.6396,124.1809,0.0238070877,0.0000000000,-0.0238070877,-1.8264458449,0.9523858246,390,0,-390,-29924,15604
8,1188.6780,153.0047,0.0291747046,0.0000000000,-0.0291747046,-1.7347082360,0.9416505909,478,0,-478,-28421,15428
9,1517.6992,188.5189,0.0357100857,0.0000000000,-0.0357100857,-1.5971637744,0.9285798286,585,0,-585,-26168,15214
10,1923.0901,232.2764,0.0436470093,0.0000000000,-0.0436470093,-1.3941624958,0.9127059813,715,0,-715,-22842,14954
11,2422.5770,286.1905,0.0532567712,0.0000000000,-0.0532567712,-1.1010763721,0.8934864576,873,0,-873,-18040,14639
12,3038.0008,352.6188,0.0648501891,0.0000000000,-0.0648501891,-0.6915250180,0.8702996219,1063,0,-1063,-11330,14259
13,3796.2719,434.4658,0.0787780195,0.0000000000,-0.0787780195,-0.1477828170,0.8424439609,1291,0,-1291,-2421,13803
14,4730.5466,535.3105,0.0954292723,0.0000000000,-0.0954292723,0.5147662248,0.8091414554,1564,0,-1564,8434,13257
15,5881.6777,659.5624,0.1152272019,0.0000000000,-0.1152272019,1.2018527098,0.7695455962,1888,0,-1888,19691,12608
16,7300.0000,812.6547,0.1386234953,-0.0000000000,-0.1386234953,1.6794068449,0.7227530095,2271,0,-2271,27515,11842
